Year,Category,Belgium,Bulgaria,CzechRepublic,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Britain
2007,Exports,"314,448.70","13,512.10","89,382.20","75,280.00","964,038.00","8,033.50","88,685.50","19,317.30","184,821.10","408,326.90","9,004.10","364,743.90","1,017.10","6,062.30","12,509.40","16,733.50","69,609.50","2,507.80","401,900.80","119,387.40","102,259.40","38,294.10","29,542.70","21,979.60","42,696.50","65,687.60","123,179.10","322,386.60"
2008,Exports,"320,805.20","15,204.10","99,809.10","79,495.90","983,255.00","8,470.10","85,476.80","21,227.70","191,387.80","418,983.00","9,585.10","369,015.60","1,110.30","6,897.10","16,077.10","17,469.50","73,772.10","2,367.00","433,721.70","123,258.80","115,894.70","38,847.30","33,678.90","23,203.70","48,369.70","65,580.20","124,644.60","321,027.80"
2009,Exports,"265,986.00","11,699.50","80,983.30","67,381.70","803,011.60","6,486.90","83,114.40","18,015.10","162,990.00","348,035.40","7,515.80","291,733.10",901.5,"5,521.90","11,796.80","15,298.80","59,512.60","2,048.60","356,962.30","98,213.70","97,865.50","31,696.80","29,084.50","18,695.40","40,207.70","45,063.40","93,763.10","254,703.70"
2010,Exports,"307,529.90","15,561.40","100,310.50","72,746.70","949,629.40","8,743.00","88,660.20","21,300.40","191,911.90","395,087.20","8,905.20","337,407.40","1,057.70","7,190.50","15,650.70","14,180.30","72,024.30","2,704.90","433,173.10","115,078.50","120,482.60","37,267.90","37,398.40","22,026.90","48,776.90","52,438.60","119,596.70","313,765.50"
2011,Exports,"341,718.20","20,264.60","117,054.10","80,362.10","1,058,897.30","12,003.40","91,554.50","24,377.30","220,223.30","428,500.60","9,582.20","375,903.80","1,306.00","9,432.70","20,150.80","14,990.10","80,683.70","3,150.50","479,239.40","127,462.40","135,557.80","42,828.00","45,284.00","24,915.10","57,349.50","56,855.20","134,312.60","363,915.20"
2012,Exports,"347,088.60","20,770.50","122,230.00","83,336.30","1,090,529.80","12,520.70","92,378.60","27,579.00","229,802.30","442,643.40","9,628.70","390,182.10","1,354.10","10,983.50","23,047.40","14,665.10","80,611.60","3,308.10","510,098.00","129,678.50","144,282.40","45,213.00","45,019.50","25,033.20","62,742.50","56,878.00","134,141.40","367,988.70"
2013,Exports,"352,955.70","22,271.80","122,185.10","83,539.40","1,088,071.00","12,288.20","87,933.80","27,295.50","239,314.30","437,150.60","9,531.40","390,232.60","1,520.40","10,892.80","24,544.60","13,869.60","80,945.10","2,738.40","505,651.50","131,884.60","154,343.70","47,302.90","49,570.70","25,614.80","64,565.80","56,047.50","126,157.40","407,059.50"
2014,Exports,"355,527.80","22,043.60","131,798.90","83,911.70","1,125,034.20","12,083.10","91,217.20","27,120.50","244,287.20","437,376.60","10,431.30","398,870.40","2,373.60","10,957.20","24,361.30","14,406.40","83,266.10","2,205.60","506,338.90","134,172.50","165,714.90","48,053.70","52,500.50","27,075.00","65,081.20","55,973.30","123,920.60","380,282.10"
2015,Exports,"357,737.20","22,877.60","142,364.10","86,060.30","1,195,822.40","11,569.20","111,259.10","25,895.20","254,599.40","456,369.30","11,663.30","412,291.30","2,960.80","10,938.50","22,903.90","15,465.40","88,846.10","2,355.00","514,309.10","137,756.80","179,532.60","49,634.00","54,620.20","28,792.60","67,845.30","53,951.30","126,258.20","414,739.30"
2016,Exports,"359,593.00","24,021.80","146,999.90","86,136.70","1,205,488.80","11,897.20","118,230.30","25,445.00","262,041.30","453,306.30","12,489.50","417,268.90","2,680.60","10,979.40","22,607.00","14,244.80","92,073.20","2,843.10","516,248.90","137,409.90","182,967.20","50,022.30","57,392.40","29,742.40","70,069.50","52,053.80","126,015.70","370,023.00"
2017,Exports,"380,214.10","26,577.30","159,446.00","90,760.50","1,282,023.90","12,810.20","121,059.90","28,854.90","283,716.30","473,741.80","14,167.60","448,106.70","2,842.70","12,236.30","26,429.10","13,927.40","100,559.10","2,219.00","577,144.50","148,730.10","204,419.50","55,068.40","62,612.80","33,984.80","74,867.90","60,083.30","135,558.20","393,893.60"
2007,Imports,"300,297.70","21,861.50","86,223.50","71,526.30","769,779.50","11,439.10","61,161.60","61,858.90","284,057.80","460,314.80","18,833.00","373,339.80","6,285.80","11,179.80","17,812.60","20,451.60","69,730.20","3,503.50","359,442.70","118,961.90","120,911.80","59,926.50","51,305.10","23,038.40","44,229.50","59,616.00","111,803.20","465,715.10"
2008,Imports,"317,043.40","25,093.90","96,571.90","74,355.60","805,729.50","10,896.40","57,087.90","65,529.40","286,104.90","487,350.40","20,817.10","382,050.20","7,236.60","10,975.40","21,144.10","21,863.60","74,068.70","3,603.60","394,980.20","125,301.40","141,966.50","64,193.90","57,148.00","25,179.70","50,252.60","62,402.40","114,565.20","447,227.80"
2009,Imports,"254,367.40","16,875.90","75,314.00","59,602.10","664,143.30","7,269.90","44,955.50","53,138.20","210,222.00","404,097.80","15,218.10","297,608.70","5,617.30","7,034.10","13,123.00","18,160.40","55,750.40","3,210.20","317,717.90","102,569.10","107,154.60","51,378.50","38,947.60","19,052.80","39,898.00","43,654.60","85,944.90","372,580.80"
2010,Imports,"295,072.10","19,245.10","95,536.00","62,647.80","795,665.60","9,268.30","47,707.30","52,147.80","246,673.90","460,941.20","15,137.00","367,389.80","6,463.70","8,818.80","17,653.10","18,713.30","66,514.20","3,818.40","386,833.60","119,943.50","134,305.70","58,647.40","46,849.70","22,719.60","49,050.40","51,899.40","112,352.40","445,291.40"
2011,Imports,"335,447.40","23,406.50","109,285.30","68,723.60","901,486.60","12,542.60","52,460.50","48,892.30","270,550.30","517,261.80","16,281.10","401,427.70","6,233.90","11,702.50","22,825.60","20,732.60","73,591.70","4,520.50","426,987.10","137,512.50","151,291.00","59,551.40","54,942.80","25,525.50","57,358.00","60,534.70","127,173.80","487,905.20"
2012,Imports,"341,787.50","25,459.50","110,065.60","71,453.70","898,857.40","14,076.60","54,734.40","49,537.60","262,561.10","524,918.30","16,214.40","380,292.50","5,678.40","13,408.70","24,879.00","21,235.90","74,078.30","5,135.20","456,823.60","138,942.40","154,934.10","56,374.10","54,644.20","24,933.60","60,241.50","59,517.30","127,985.50","541,111.90"
2013,Imports,"340,092.90","25,828.50","108,620.90","73,298.80","889,415.70","13,902.70","55,293.70","46,997.10","256,455.10","513,888.90","16,581.30","361,002.20","4,754.00","13,451.40","26,207.70","20,084.40","75,379.40","4,624.90","444,015.50","137,999.80","156,318.70","57,012.80","55,328.10","25,128.70","61,542.60","58,406.60","120,931.30","496,976.60"
2014,Imports,"342,214.80","26,118.30","116,202.60","74,970.70","908,574.60","13,776.50","61,832.10","48,326.90","270,172.60","510,851.30","17,154.50","356,938.80","6,015.10","13,285.50","25,889.40","20,101.30","78,978.30","5,131.90","443,688.60","137,001.20","168,366.40","59,032.10","58,555.60","25,551.10","61,688.50","57,769.40","122,132.40","519,733.40"
2015,Imports,"338,124.90","26,346.80","127,481.30","77,173.20","947,626.70","13,099.90","69,450.90","43,580.30","281,222.10","516,767.40","18,563.60","370,484.40","6,338.40","13,057.50","25,399.50","21,016.00","82,947.30","5,442.70","461,797.10","140,699.20","177,182.00","60,344.80","62,979.20","26,887.40","66,166.90","54,487.60","124,807.10","564,550.90"
2016,Imports,"336,649.50","26,158.70","129,268.10","77,292.10","953,760.90","13,493.00","73,272.80","44,125.60","281,056.80","516,969.00","19,791.20","367,625.80","7,077.10","12,880.50","24,699.60","19,643.40","84,828.90","5,783.70","456,289.70","142,511.90","178,245.10","61,242.90","67,363.10","27,597.50","68,216.20","54,993.60","127,222.10","574,908.20"
2017,Imports,"356,819.50","30,172.10","143,367.80","82,245.50","1,033,048.60","14,727.50","76,733.30","50,321.70","310,380.00","552,992.90","21,891.90","400,658.90","7,970.90","14,871.00","28,763.00","19,970.30","94,993.60","5,148.30","508,372.00","155,648.70","203,980.00","68,938.30","75,560.90","31,837.90","73,681.40","62,042.60","136,211.40","570,111.50"