Year,Belgium,Bulgaria,CzechRepublic,Denmark,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,UK,Germany ,Hungary
2007,"314,448.0","13,512.1","89,382.2","75,280.0","8,033.5","88,685.5","19,317.3","184,821.1","408,326.9","9,004.1","364,743.9","1,017.1","6,062.3","12,509.4","16,733.5","2,507.8","401,900.8","119,387.4","102,259.4","38,294.1","29,542.7","21,979.6","42,696.5","65,687.6","123,179.1","322,386.6","964,038.0","69,609.5"
2008,"320,805.2","15,204.1","99,809.1","79,495.9","8,470.1","85,476.8","21,227.7","191,387.8","418,983.0","9,585.1","369,015.6","1,110.3","6,897.1","16,077.1","17,469.5","2,367.0","433,721.7","123,258.8","115,894.7","38,847.3","33,678.9","23,203.7","48,369.7","65,580.2","124,644.6","321,027.8","983,255.0","73,772.1"
2009,"265,986.0","11,699.5","80,983.3","67,381.7","6,486.9","83,114.4","18,015.1","162,990.0","348,035.4","7,515.8","291,733.1",901.5,"5,521.9","11,796.8","15,298.8","2,048.6","356,962.3","98,213.7","97,865.5","31,696.8","29,084.5","18,695.4","40,207.7","45,063.4","93,763.1","254,703.7","803,011.6","59,512.6"
2010,"307,529.9","15,561.4","100,310.5","72,746.7","8,743.0","88,660.2","21,300.4","191,911.9","395,087.2","8,905.2","337,407.4","1,057.7","7,190.5","15,650.7","14,180.3","2,704.9","433,173.1","115,078.5","120,482.6","37,267.9","37,398.4","22,026.9","48,776.9","52,438.6","119,596.7","313,765.5","949,629.4","72,024.3"
2011,"341,718.2","20,264.6","117,054.1","80,362.1","12,003.4","91,554.5","24,377.3","220,223.3","428,500.6","9,582.2","375,903.8","1,306.0","9,432.7","20,150.8","14,990.1","3,150.5","479,239.4","127,462.4","135,557.8","42,828.0","45,284.0","24,915.1","57,349.5","56,855.2","134,312.6","363,915.2","1,058,897.3","80,683.7"
2012,"347,088.6","20,770.5","122,230.0","83,336.3","12,520.7","92,378.6","27,579.0","229,802.3","442,643.4","9,628.7","390,182.1","1,354.1","10,983.5","23,047.4","14,665.1","3,308.1","510,098.0","129,678.5","144,282.4","45,213.0","45,019.5","25,033.2","62,742.5","56,878.0","134,141.4","367,988.7","1,090,529.8","80,611.6"
2013,"352,955.7","22,271.8","122,185.1","83,539.4","12,288.2","87,933.8","27,295.5","239,314.3","437,150.6","9,531.4","390,232.6","1,520.4","10,892.8","24,544.6","13,869.6","2,738.4","505,651.5","131,884.6","154,343.7","47,302.9","49,570.7","25,614.8","64,565.8","56,047.5","126,157.4","407,059.5","1,088,071.0","80,945.1"
2014,"355,527.8","22,043.6","131,798.9","83,911.7","12,083.1","91,217.2","27,120.5","244,287.2","437,376.6","10,431.3","398,870.4","2,373.6","10,957.2","24,361.3","14,406.4","2,205.6","506,338.9","134,172.5","165,714.9","48,053.7","52,500.5","27,075.0","65,081.2","55,973.3","123,920.6","380,282.1","1,125,034.2","83,266.1"
2015,"357,737.2","22,877.6","142,364.1","86,060.3","11,569.2","111,259.1","25,895.2","254,599.4","456,369.3","11,663.3","412,291.3","2,960.8","10,938.5","22,903.9","15,465.4","2,355.0","514,309.1","137,756.8","179,532.6","49,634.0","54,620.2","28,792.6","67,845.3","53,951.3","126,258.2","414,739.3","1,195,822.4","88,846.1"
2016,"359,593.0","24,021.8","146,999.9","86,136.7","11,897.2","118,230.3","25,445.0","262,041.3","453,306.3","12,489.5","417,268.9","2,680.6","10,979.4","22,607.0","14,244.8","2,843.1","516,248.9","137,409.9","182,967.2","50,022.3","57,392.4","29,742.4","70,069.5","52,053.8","126,015.7","370,023.0","1,205,488.8","92,073.2"
2017,"380,214.1","26,577.3","159,446.0","90,760.5","12,810.2","121,059.9","28,854.9","283,716.3","473,741.8","14,167.6","448,106.7","2,842.7","12,236.3","26,429.1","13,927.4","2,219.0","577,144.5","148,730.1","204,419.5","55,068.4","62,612.8","33,984.8","74,867.9","60,083.3","135,558.2","393,893.6","1,282,023.9","100,559.1"